sep=,
Plate name,Plate ID,Plate type,Well,Sample ID,Sample/NTC/Control,Type,Reaction Mix,Target (Name),Target (IC),Target (Control),Conc. [cp/µL] (dPCR reaction),Conc. [-] (dPCR reaction),CI (95%) (dPCR reaction),Conc. [cp/µL] (undiluted sample),Conc. [-] (undiluted sample),Partitions (Valid),Partitions (Positive),Partitions (Negative),Threshold,Volume per well [µl],Concentration factor,Template volume [µl],Total volume [µl],Conversion factor,Conversion unit,REF,CXT matrix RM template name,CXT matrix RM template ID,Lambda,Actual cycled vol/partition [nL],Actual cycled vol/well [µL],Mean RFU positives,Mean RFU negatives,Rain [%],Resolution,Positives bandwidth,Negatives bandwidth
,,,D8,11,30,SAMPLE,16S-515F+806R,16S,-,-,1439.8550517527171,-,0.03767235723391303,8639130.310516303,-,8108,2746,5362,145.71,2.444,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.413514188775986,0.28719153936545244,2.3285490011750882,171.81305535324103,49.39522752704212,"1,41",3.113408204091897,59.93,19.87
,,,E8,23,64,SAMPLE,16S-515F+806R,16S,-,-,1239.6065441544106,-,0.0398608158282054,7437639.264926463,-,8118,2444,5674,145.71,2.459,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.35818948203004647,0.28895417156286723,2.345729964747356,168.40352291325698,49.11138879097642,"1,59",2.713749212447682,62.48,27.07
,,,F8,4,10,SAMPLE,16S-515F+806R,16S,-,-,2892.0411742630936,-,0.0353409658319147,1.735224704557856E7,-,5763,3260,2503,145.71,2.454,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.8339681600048922,0.2883666274970623,1.6618568742655702,170.71588036809788,53.59603675589293,"2,95",3.5171043313849024,52.93,16.56
,,,G8,24,67,SAMPLE,16S-515F+806R,16S,-,-,1572.2203252697723,-,0.036595934381916204,9433321.951618634,-,7909,2920,4989,145.71,2.494,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.4607658626583798,0.2930669800235018,2.3178667450058756,169.46946575342437,49.19700541190628,"1,16",2.951636687530286,56.87,26.01
,,,H8,-,BLANK,CONTROL,16S-515F+806R,16S,-,NEG,1.9678915174556209,-,0.8765226362204885,-,-,8271,5,8266,145.71,2.615,-,-,12.0,-,-,Std-Ref,-,-,6.047046202287249E-4,0.3072855464159812,2.5415587544065805,151.57999999999998,36.146865473021954,"0,01",3.3127592087838917,51.57,17.72
,,,A9,9,25,SAMPLE,16S-515F+806R,16S,-,-,836.1899917626719,-,0.04578495980548593,5017139.950576032,-,8066,1843,6223,145.71,2.64,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.25940559086409565,0.3102232667450059,2.5022608695652178,176.67049376017363,47.57639884300174,"1,04",3.256427903608258,52.04,28.36
,,,B9,21,58,SAMPLE,16S-515F+806R,16S,-,-,42.007785370568484,-,0.19312262969854452,252046.7122234109,-,8273,103,8170,145.71,2.538,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.012528291336134291,0.2982373678025852,2.467317743830787,170.79281553398064,43.99319583843329,"0,01",3.722759791063168,47.17,19.38
,,,C9,33,94,SAMPLE,16S-515F+806R,16S,-,-,1824.238003041055,-,0.033829992526080835,1.094542801824633E7,-,8267,3439,4828,145.71,2.509,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.5378393830352535,0.2948296122209166,2.4373564042303175,170.8049200348939,49.88476180613089,"1,54",2.6494934253341382,66.5,26.53
,,,D9,12,33,SAMPLE,16S-515F+806R,16S,-,-,1304.560820537381,-,0.038677128403734176,7827364.923224286,-,8159,2600,5559,145.71,2.503,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.3837033764753308,0.2941245593419507,2.3997622796709757,171.19615384615383,47.832255801403235,"1,53",3.199597592229351,59.04,19.31
,,,E9,24,67,SAMPLE,16S-515F+806R,16S,-,-,3296.731951875401,-,0.028426720316306654,1.9780391711252406E7,-,8271,5143,3128,145.71,2.51,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.9723615980267047,0.29494712103407755,2.4395076380728553,165.24115691230807,52.65790920716106,"1,27",2.680550392537831,60.85,26.2
